RSN,EQID,Station_Code,Magnitude,Fault_Mechanisc,depth,Joyner_Boore_Rjb,Soil_site_class,PGA,T0.010S,T0.020S,T0.030S,T0.040S,T0.050S,T0.060S,T0.070S,T0.080S,T0.090S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.800S,T1.000S,T1.200S,T1.500S,T1.800S,T2.000S,T2.500S,T3.000S,T3.500S,T4.000S,T5.000S
318,61,JUB,4.5,0,35,162.62482,A,0.0030127,0.003039,0.0031221,0.0033649,0.0035995,0.0042731,0.0046507,0.0057007,0.0077252,0.0097438,0.011273,0.011057,0.0043778,0.0024277,0.0014419,0.00077517,0.00058575,0.00024794,0.00013721,8.08E-05,6.37E-05,4.96E-05,3.48E-05,3.04E-05,2.28E-05,2.24E-05,2.57E-05,2.26E-05
319,61,KAP,4.5,0,35,76.806669,C,0.0052774,0.0052893,0.0053227,0.0057902,0.0053823,0.006309,0.0066249,0.0068882,0.0071894,0.0071681,0.0081111,0.014219,0.013412,0.0092383,0.0077256,0.0043412,0.0033428,0.0011775,0.0006666,0.0003977,0.00023929,0.00016163,0.00012795,9.45E-05,5.53E-05,3.68E-05,2.80E-05,2.35E-05
320,61,NAW,4.5,0,35,64.201685,C,0.0083414,0.0083779,0.0084959,0.0088746,0.0091404,0.0096721,0.010786,0.011635,0.014969,0.019218,0.016704,0.019579,0.025394,0.024355,0.018482,0.011091,0.0065589,0.0024498,0.001509,0.00094161,0.00071897,0.00063881,0.00059933,0.00052293,0.00045008,0.00038861,0.00042717,0.00030186
321,61,ROO,4.5,0,35,267.86321,C,0.00071002,0.00071242,0.0007201,0.00073057,0.00078413,0.0008425,0.0008192,0.00087741,0.00089705,0.0010112,0.0011226,0.0018485,0.0026589,0.0027928,0.0016301,0.00090841,0.0008232,0.00031202,0.00019145,0.00013851,7.59E-05,6.17E-05,5.49E-05,4.44E-05,2.84E-05,2.45E-05,2.42E-05,2.59E-05
322,61,SND,4.5,0,35,76.962711,A,0.0032371,0.0032624,0.0033599,0.00356,0.0041389,0.0044408,0.0048984,0.0063023,0.0081625,0.010727,0.016801,0.014031,0.0064219,0.0043347,0.0036648,0.0040161,0.0018745,0.00099847,0.00063564,0.00035008,0.00018444,0.00012908,0.00010651,6.20E-05,4.22E-05,3.72E-05,2.67E-05,2.44E-05
323,61,SNG,4.5,0,35,163.72363,,9.61E-05,9.77E-05,0.0001048,0.00011576,0.00012264,0.00012543,0.00013316,0.00013642,0.00014248,0.00014621,0.0001432,0.00019642,0.00017983,0.00018077,0.0001577,0.00012083,0.00010101,5.47E-05,3.90E-05,2.98E-05,2.10E-05,1.66E-05,1.35E-05,1.02E-05,7.99E-06,7.29E-06,8.17E-06,7.60E-06
324,62,BAR,3.9,0,8,51.635122,A,0.0029498,0.0029624,0.003,0.0030747,0.0033491,0.0037583,0.0041654,0.0049839,0.0053631,0.0064868,0.0074844,0.013173,0.011549,0.0076211,0.0056049,0.0024931,0.00098472,0.00032148,0.0002215,0.00015633,7.88E-05,5.31E-05,4.13E-05,4.00E-05,3.45E-05,2.76E-05,2.56E-05,2.06E-05
325,62,DHA,3.9,0,8,15.256078,B,0.012978,0.013039,0.013211,0.014053,0.018078,0.018617,0.020044,0.023697,0.022202,0.029606,0.0389,0.040521,0.041672,0.037307,0.02526,0.018477,0.0087077,0.0035511,0.0016868,0.0009413,0.00049498,0.00030907,0.00023707,0.00015565,0.00012056,9.16E-05,6.01E-05,4.49E-05
326,62,ROO,3.9,0,8,76.428451,C,0.00063965,0.00064268,0.00065153,0.00067737,0.00070165,0.00081064,0.00081206,0.00095227,0.0011218,0.0013477,0.0015349,0.0027693,0.00212,0.0014326,0.001267,0.00058436,0.00034762,0.00019639,0.0001191,0.00012335,9.94E-05,8.72E-05,6.59E-05,5.38E-05,3.39E-05,2.69E-05,2.44E-05,2.53E-05
327,62,TEH,3.9,0,8,4.0794422,A,0.020185,0.020457,0.021402,0.024023,0.035268,0.039231,0.036459,0.033166,0.039421,0.040069,0.041534,0.034564,0.042246,0.023144,0.027025,0.023181,0.014149,0.0025889,0.0015786,0.0010411,0.00061575,0.00043741,0.00035379,0.00021299,0.00013562,9.74E-05,7.96E-05,4.75E-05
328,63,BAR,4.7,0,43.8,52.334171,A,0.0030409,0.0030737,0.0032013,0.0036747,0.0037857,0.0040785,0.0045562,0.003698,0.0046023,0.0041407,0.0056149,0.0072673,0.011934,0.009562,0.0061127,0.0024724,0.0013396,0.00035595,0.00023615,0.00014622,8.73E-05,6.31E-05,5.60E-05,3.36E-05,2.94E-05,3.00E-05,3.21E-05,2.06E-05
329,63,JUB,4.7,0,43.8,24.683378,A,0.039327,0.040008,0.04398,0.061912,0.089492,0.069937,0.074162,0.081714,0.070294,0.08744,0.098596,0.10289,0.056686,0.02666,0.015427,0.0077123,0.0045918,0.0014806,0.00085802,0.00060966,0.00037552,0.00024873,0.00019086,0.00012968,9.29E-05,6.91E-05,5.77E-05,3.64E-05
330,63,ROO,4.7,0,43.8,148.33765,C,0.00050935,0.00051117,0.00051704,0.00053831,0.00057015,0.00059962,0.00056034,0.00070705,0.00089332,0.0010972,0.00093668,0.0014599,0.0016015,0.0013559,0.0012384,0.0011157,0.00056169,0.00022024,0.00014335,0.00010662,8.91E-05,5.73E-05,4.76E-05,3.58E-05,3.06E-05,2.76E-05,2.38E-05,2.34E-05
331,63,UNA,4.7,0,43.8,158.05385,C,0.0021258,0.0021312,0.0021457,0.0022311,0.002256,0.0022736,0.0023805,0.002516,0.0026461,0.0031314,0.0035399,0.0049285,0.0073402,0.0075198,0.0051829,0.002204,0.0015041,0.00044922,0.00031177,0.00017727,0.00012085,8.86E-05,5.97E-05,3.51E-05,2.72E-05,2.92E-05,2.55E-05,1.98E-05
332,64,CHP,3.6,0,10,70.010651,A,0.010082,0.010175,0.010514,0.011381,0.017209,0.02523,0.027016,0.030205,0.027427,0.026987,0.023694,0.029376,0.017101,0.01118,0.0070245,0.0024056,0.0013829,0.00049445,0.00028256,0.00016528,0.00010641,7.67E-05,6.50E-05,4.00E-05,3.32E-05,2.98E-05,2.50E-05,2.25E-05
333,64,PIT,3.6,0,10,47.403954,A,0.012643,0.012749,0.013113,0.014707,0.017057,0.022151,0.02381,0.031692,0.033751,0.04624,0.046508,0.034899,0.015785,0.0074044,0.0041906,0.0020458,0.0012199,0.00046801,0.00030735,0.00019927,0.00011991,7.88E-05,6.91E-05,4.16E-05,2.81E-05,2.62E-05,2.55E-05,2.32E-05
334,65,CHP,5.2,0,14.2,57.72,A,0.0025873,0.0025966,0.0026261,0.0026605,0.002762,0.0029783,0.0032286,0.003486,0.0040045,0.004331,0.0046214,0.012601,0.007956,0.0043711,0.0029591,0.002409,0.0016256,0.00046871,0.00044954,0.00035016,0.00027247,0.00032638,0.00033879,0.00029272,0.00018476,9.31E-05,9.75E-05,4.83E-05
335,65,MUN,5.2,0,14.2,31.61,A,0.0061281,0.0061911,0.0063896,0.0079436,0.0088684,0.012693,0.023471,0.018286,0.018655,0.021794,0.018522,0.011317,0.0085985,0.0044967,0.0039925,0.0019344,0.0013572,0.00083223,0.00066936,0.00065569,0.00062353,0.00078906,0.00067361,0.00049079,0.00028427,0.00014664,9.12E-05,5.90E-05
336,66,BAG,4.3,0,6.6,18.10497,A,0.0061018,0.0061619,0.0063924,0.007523,0.0097006,0.012448,0.012688,0.015179,0.019446,0.023923,0.023951,0.014431,0.0094858,0.0074864,0.006545,0.0038321,0.0026109,0.0010474,0.00055293,0.00034542,0.00018272,0.00012347,9.15E-05,5.47E-05,3.55E-05,3.07E-05,2.21E-05,2.47E-05
337,66,GAR,4.3,0,6.6,34.405533,A,0.0094106,0.0094842,0.0097101,0.010365,0.0108,0.013743,0.018728,0.019216,0.02403,0.027956,0.031797,0.026035,0.014622,0.011534,0.0081486,0.0046617,0.0026157,0.00092303,0.00056698,0.00032628,0.00017198,0.00011372,8.97E-05,5.32E-05,4.48E-05,2.91E-05,2.09E-05,1.62E-05
338,66,KAP,4.3,0,6.6,29.169275,A,0.0096656,0.0098516,0.010503,0.012891,0.0167,0.02477,0.023756,0.027311,0.025471,0.03063,0.02561,0.023335,0.023888,0.0090033,0.0059653,0.0028541,0.0015199,0.00047056,0.00026361,0.00016174,9.29E-05,7.08E-05,5.78E-05,4.16E-05,2.66E-05,3.15E-05,2.48E-05,2.49E-05
339,66,ROO,4.3,0,6.6,163.87623,C,0.00083531,0.00083817,0.00084743,0.00088788,0.00095323,0.00096365,0.0010292,0.0010806,0.0012201,0.0012922,0.0013923,0.0022458,0.002665,0.0016054,0.0016339,0.00058334,0.0004436,0.00016657,9.53E-05,7.81E-05,5.69E-05,3.28E-05,3.48E-05,2.69E-05,1.91E-05,1.87E-05,2.28E-05,2.43E-05
340,67,GUW,3.9,0,35,41.276615,C,0.018799,0.0191,0.020214,0.024747,0.028301,0.037366,0.067555,0.059944,0.050464,0.044782,0.039602,0.036102,0.044045,0.030249,0.019637,0.01052,0.0052297,0.0013952,0.00077902,0.00050852,0.00029977,0.00019903,0.00015396,0.00010866,7.66E-05,5.50E-05,4.11E-05,3.51E-05
341,68,BON,4.4,0,20,73.150202,C,0.0065601,0.0065999,0.0067551,0.007288,0.0084012,0.0085776,0.0106,0.01304,0.010088,0.010287,0.010718,0.013643,0.022277,0.021693,0.021175,0.010366,0.0046707,0.0018575,0.00071559,0.00046234,0.00025673,0.00017873,0.00013905,8.99E-05,6.40E-05,4.80E-05,4.16E-05,2.58E-05
342,68,GUW,4.4,0,20,157.59588,C,0.0043689,0.0043877,0.0044773,0.0048171,0.0060565,0.0072844,0.0085776,0.0082763,0.0077864,0.0089591,0.0094207,0.011,0.015305,0.0097541,0.0059837,0.0063511,0.0042441,0.0011695,0.00052754,0.00038173,0.00031428,0.00018372,0.00013253,7.88E-05,5.96E-05,4.13E-05,3.78E-05,2.08E-05
